payer_id,total_count,total_lifetime_vol,current_outstanding,avg_days_late,paid_count,total_paid_vol,segment
02XogYMYtYTC5RnqM2hW,11,2068363,0.0,39.54545454545455,11.0,2068363.0,Late Payer
0APxoWmvM8WtnUMozFsK,6,646387,0.0,37.666666666666664,6.0,646387.0,Late Payer
0Df7OekBKNYtNfrCkXyi,11,122220,44100.0,-39.875,8.0,84734.0,Prompt Payer
0KOfWDjA1suUKTaywOEN,4,6456350,0.0,2.5,4.0,6456350.0,Slow but Steady
0KPQJe8MtJYgyNJvHZ4t,2,354960,0.0,-9.5,2.0,354960.0,Prompt Payer
0LeTGafQ6aAwsqsSk7JQ,20,4068228,162822.0,150.66666666666666,18.0,3798340.0,Very Late / Risk
0Wi5xw8wHXUdeXDXMIYz,78,9671586,6511406.0,20.620689655172413,29.0,4136886.0,Late Payer
0ZSIej5ITw7z91r9uAfH,70,28556594,0.0,1.3285714285714285,70.0,28556594.0,Slow but Steady
0cfsecX5PFKjTBEQuku3,72,15253305,0.0,-9.23611111111111,72.0,15253305.0,Prompt Payer
0dzUpnvukCNsnGeo084T,12,7750133,1000000.0,74.9,10.0,6216838.0,Very Late / Risk
0fav4IMU83cEbqzZ42bl,15,2349307,0.0,12.533333333333333,15.0,2349307.0,Slow but Steady
0jTejTjL8qXIzWgipWzP,1,154296,0.0,-2.0,1.0,154296.0,Prompt Payer
0neJhKmnbrtdcCgSbaKo,28,5456852,1519821.0,2.1578947368421053,19.0,4057755.0,Slow but Steady
0p6q6FKfr6MXcJHiCYRZ,20,2383891,1944732.0,30.6,5.0,730867.0,Late Payer
0zKN6TR7WP8eagCUg4P4,3,2789176,0.0,21.333333333333332,3.0,2789176.0,Late Payer
126Nv7oVPdMH4KUn0945,7,188744,0.0,53.714285714285715,7.0,188744.0,Very Late / Risk
15T2G5n6MZ3UQUPztkuJ,1,19659,0.0,143.0,1.0,19659.0,Very Late / Risk
17tbdeXoDQKMqc4xOXya,1,1598213,0.0,3.0,1.0,1598213.0,Slow but Steady
1EFMYl6hw6777jpa0esk,4,479912,191249.0,24.5,2.0,317350.0,Late Payer
1MWNaWuKJqmRneBlZa8Y,2,2025694,4181.0,10.0,1.0,1302488.0,Slow but Steady
1MdjiaYI7J755GyFhkiv,4,226701,0.0,82.25,4.0,226701.0,Very Late / Risk
1Nof07KM8Rlpb6DwQG4l,27,4002893,53138.0,-3.8076923076923075,26.0,3957726.0,Prompt Payer
1NuLpCOONxXGmayE3bsv,30,41828911,0.0,18.233333333333334,30.0,41828911.0,Late Payer
1P1iTvEd14BlcCftH970,17,6104729,6696742.0,16.0,1.0,412498.0,Late Payer
1RJYjFZ4GwjUALEtG1Vu,56,16416474,8460107.0,51.90625,32.0,7177804.0,Very Late / Risk
1U0oPxCXNYlXpv0r0iqK,33,5928867,140541.0,16.806451612903224,31.0,5809407.0,Late Payer
1XW0RSDsOMJWgj5rvp8q,12,439045,22810.0,67.45454545454545,11.0,419656.0,Very Late / Risk
1aZ7juZgZjlccj1iwZ13,8,1792745,0.0,20.125,8.0,1792745.0,Late Payer
1baV8J0Ug4k8C4CQpE1k,27,27601033,5714378.25,74.88235294117646,17.0,22592889.0,Very Late / Risk
1nuGU96glD2RIxLbcHce,6,928155,0.0,78.83333333333333,6.0,928155.0,Very Late / Risk
1rAVQsmhtBSOsrHflvcs,9,921006,0.0,20.0,9.0,921006.0,Late Payer
1sa9THDvtGXf6zcl0m1p,22,2227233,1520272.0,11.428571428571429,7.0,904783.0,Slow but Steady
1t3YEUsTcrZz6hEKzLmp,10,580508,0.0,29.2,10.0,580508.0,Late Payer
