id,total_amount,amount_due,issue_date,due_date,paid_on_date,payer_id,days_to_pay,days_overdue_actual,status,current_days_overdue,issue_month,simulated_writeoff_date
1,1720329,0.0,2021-11-01,2021-12-31,2022-08-22,pKey9MQ59wyF6GhjWM5p,294.0,234.0,Paid,,2021-11,2022-03-31
2,1560727,0.0,2021-11-01,2021-12-01,2021-12-04,Ed9wuAC3RlOfWkENchdD,33.0,3.0,Paid,,2021-11,2022-03-01
3,149600,0.0,2021-11-01,2022-02-14,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,113.0,8.0,Paid,,2021-11,2022-05-15
4,149600,0.0,2021-11-01,2022-02-14,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,113.0,8.0,Paid,,2021-11,2022-05-15
5,149600,0.0,2021-11-01,2022-02-14,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,113.0,8.0,Paid,,2021-11,2022-05-15
6,149600,0.0,2021-11-01,2022-02-14,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,113.0,8.0,Paid,,2021-11,2022-05-15
7,149600,0.0,2021-11-01,2022-02-14,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,113.0,8.0,Paid,,2021-11,2022-05-15
8,149600,0.0,2021-11-01,2022-02-14,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,113.0,8.0,Paid,,2021-11,2022-05-15
9,149600,0.0,2021-11-01,2022-02-14,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,113.0,8.0,Paid,,2021-11,2022-05-15
10,149600,0.0,2021-11-01,2022-02-14,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,113.0,8.0,Paid,,2021-11,2022-05-15
11,149600,0.0,2021-11-01,2022-02-14,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,113.0,8.0,Paid,,2021-11,2022-05-15
12,149600,0.0,2021-11-01,2022-02-14,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,113.0,8.0,Paid,,2021-11,2022-05-15
13,149600,0.0,2021-11-01,2022-02-14,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,113.0,8.0,Paid,,2021-11,2022-05-15
14,149600,0.0,2021-11-01,2022-02-14,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,113.0,8.0,Paid,,2021-11,2022-05-15
15,73114,0.0,2021-11-01,2021-12-01,2022-01-15,6tYO4at7N5JO1d9w8S2t,75.0,45.0,Paid,,2021-11,2022-03-01
16,1626618,0.0,2021-11-01,2021-12-16,2022-01-18,cAZ1GfmspxNnk7myr0sJ,78.0,33.0,Paid,,2021-11,2022-03-16
17,1851297,0.0,2021-11-01,2021-12-31,2022-02-21,pKey9MQ59wyF6GhjWM5p,112.0,52.0,Paid,,2021-11,2022-03-31
18,1721441,0.0,2021-11-01,2021-12-31,2021-12-29,pKey9MQ59wyF6GhjWM5p,58.0,-2.0,Paid,,2021-11,2022-03-31
19,1744216,0.0,2021-11-02,2022-03-02,2022-07-15,w7TWUL5cbJ43hYdVEzFU,255.0,135.0,Paid,,2021-11,2022-05-31
20,149600,0.0,2021-11-02,2022-02-15,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,112.0,7.0,Paid,,2021-11,2022-05-16
21,149600,0.0,2021-11-02,2022-02-15,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,112.0,7.0,Paid,,2021-11,2022-05-16
22,149600,0.0,2021-11-02,2022-02-15,2022-02-22,bPBZIvFiIE1ZbZjvuYm7,112.0,7.0,Paid,,2021-11,2022-05-16
23,1732217,0.0,2021-11-02,2022-01-01,2022-01-25,uBoSyHLxAdZLG9lAy02n,84.0,24.0,Paid,,2021-11,2022-04-01
24,42803,0.0,2021-11-02,2021-11-02,2021-12-10,TsjNWhxSymvH2h0Ii7aF,38.0,38.0,Paid,,2021-11,2022-01-31
25,36501,0.0,2021-11-02,2021-11-02,2021-12-10,TsjNWhxSymvH2h0Ii7aF,38.0,38.0,Paid,,2021-11,2022-01-31
26,24925,0.0,2021-11-02,2021-11-02,2021-11-26,zWH50OhU94uh2aDFEO9K,24.0,24.0,Paid,,2021-11,2022-01-31
27,24419,0.0,2021-11-02,2021-11-02,2021-11-26,zWH50OhU94uh2aDFEO9K,24.0,24.0,Paid,,2021-11,2022-01-31
28,1628423,0.0,2021-11-03,2022-01-02,2022-06-07,Mt0RXWEqeFVu6enqWsaW,216.0,156.0,Paid,,2021-11,2022-04-02
29,751647,0.0,2021-11-03,2022-01-02,2022-06-07,Mt0RXWEqeFVu6enqWsaW,216.0,156.0,Paid,,2021-11,2022-04-02
30,1574821,0.0,2021-11-03,2022-01-02,2022-05-31,dVLAeX1yd1AkA82rcvCm,209.0,149.0,Paid,,2021-11,2022-04-02
31,107406,0.0,2021-11-03,2022-01-02,2021-12-27,tjFgcJam1OWEoFS8j0FH,54.0,-6.0,Paid,,2021-11,2022-04-02
32,1412952,0.0,2021-11-03,2021-11-18,2022-02-25,y5Jxhor8NKKsSCDJLk2j,114.0,99.0,Paid,,2021-11,2022-02-16
33,1020418,0.0,2021-11-03,2021-11-18,2022-02-25,y5Jxhor8NKKsSCDJLk2j,114.0,99.0,Paid,,2021-11,2022-02-16
34,35197,0.0,2021-11-03,2021-11-03,2021-12-10,TsjNWhxSymvH2h0Ii7aF,37.0,37.0,Paid,,2021-11,2022-02-01
35,36740,0.0,2021-11-03,2021-11-03,2021-12-10,TsjNWhxSymvH2h0Ii7aF,37.0,37.0,Paid,,2021-11,2022-02-01
36,718588,0.0,2021-11-05,2022-01-04,2022-05-05,dVLAeX1yd1AkA82rcvCm,181.0,121.0,Paid,,2021-11,2022-04-04
37,178685,0.0,2021-11-08,2021-12-23,2022-07-27,FunXVV0qAoHLXOHtfbiZ,261.0,216.0,Paid,,2021-11,2022-03-23
38,346758,0.0,2021-11-08,2021-12-23,2022-01-07,yRBJU6FTJpqeUK2Sn2cc,60.0,15.0,Paid,,2021-11,2022-03-23
39,91800,108000.0,2021-11-08,2022-01-07,,aWswOgJZxKq3KTnhxx3F,,,Overdue,297.0,2021-11,2022-04-07
40,398544,0.0,2021-11-08,2021-12-23,2022-03-09,L7b4TgISV4T33pUWAYFi,121.0,76.0,Paid,,2021-11,2022-03-23
41,149600,0.0,2021-11-08,2022-02-21,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,109.0,4.0,Paid,,2021-11,2022-05-22
42,149600,0.0,2021-11-08,2022-02-21,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,109.0,4.0,Paid,,2021-11,2022-05-22
43,149600,0.0,2021-11-08,2022-02-21,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,109.0,4.0,Paid,,2021-11,2022-05-22
44,149600,0.0,2021-11-08,2022-02-21,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,109.0,4.0,Paid,,2021-11,2022-05-22
45,1872296,0.0,2021-11-08,2022-01-07,2022-02-23,uBoSyHLxAdZLG9lAy02n,107.0,47.0,Paid,,2021-11,2022-04-07
46,221322,0.0,2021-11-08,2022-01-07,2022-01-18,uBoSyHLxAdZLG9lAy02n,71.0,11.0,Paid,,2021-11,2022-04-07
47,276427,0.0,2021-11-08,2021-12-08,2022-05-09,Fc8CJmFyV1qtwOr6oukK,182.0,152.0,Paid,,2021-11,2022-03-08
48,92225,0.0,2021-11-08,2021-12-23,2022-01-27,HsAmSGbjCOM4MwOU0WwY,80.0,35.0,Paid,,2021-11,2022-03-23
49,268685,0.0,2021-11-08,2021-12-08,2022-05-18,0LeTGafQ6aAwsqsSk7JQ,191.0,161.0,Paid,,2021-11,2022-03-08
50,165750,0.0,2021-11-08,2021-11-23,2021-11-25,zwFmuj7p6kSPheLzMiSm,17.0,2.0,Paid,,2021-11,2022-02-21
51,178735,0.0,2021-11-08,2021-11-18,2021-11-23,RJ1Brep7NqLTOekFFjhv,15.0,5.0,Paid,,2021-11,2022-02-16
52,98700,0.0,2021-11-08,2021-12-08,2022-01-19,tH6pmGGxnBHHOsdVDFvR,72.0,42.0,Paid,,2021-11,2022-03-08
53,10180,0.0,2021-11-08,2021-12-08,2022-03-16,tH6pmGGxnBHHOsdVDFvR,128.0,98.0,Paid,,2021-11,2022-03-08
54,99243,0.0,2021-11-08,2022-02-06,2022-02-11,vkNEm6wTBFnPboH7K8Ec,95.0,5.0,Paid,,2021-11,2022-05-07
55,163438,0.0,2021-11-08,2021-12-08,2022-02-13,4BdbgDoApw1nD0kmtVkM,97.0,67.0,Paid,,2021-11,2022-03-08
56,521107,613067.0,2021-11-08,2021-11-23,,SRyNwRSbaPRzxiSBF0nQ,,,Overdue,342.0,2021-11,2022-02-21
57,120233,141450.0,2021-11-08,2021-11-23,,SRyNwRSbaPRzxiSBF0nQ,,,Overdue,342.0,2021-11,2022-02-21
58,100912,118720.0,2021-11-08,2021-11-23,,SRyNwRSbaPRzxiSBF0nQ,,,Overdue,342.0,2021-11,2022-02-21
59,332683,0.0,2021-11-08,2022-01-07,2022-03-03,SxshkvCKYjqunlbVVWa3,115.0,55.0,Paid,,2021-11,2022-04-07
60,119402,0.0,2021-11-08,2021-12-23,2022-01-24,9MOgDPtLcmLnRyktaiEN,77.0,32.0,Paid,,2021-11,2022-03-23
61,129842,0.0,2021-11-09,2021-11-29,2021-12-02,XwZPMw2c4BrYHtq1OLno,23.0,3.0,Paid,,2021-11,2022-02-27
62,117896,0.0,2021-11-09,2022-02-07,2022-05-28,hEbdIDWrltJSwXzpsyaM,200.0,110.0,Paid,,2021-11,2022-05-08
63,117896,0.0,2021-11-09,2022-02-07,2022-05-28,hEbdIDWrltJSwXzpsyaM,200.0,110.0,Paid,,2021-11,2022-05-08
64,1861667,0.0,2021-11-09,2022-01-08,2022-02-21,pKey9MQ59wyF6GhjWM5p,104.0,44.0,Paid,,2021-11,2022-04-08
65,1861468,0.0,2021-11-09,2022-01-08,2022-01-31,pKey9MQ59wyF6GhjWM5p,83.0,23.0,Paid,,2021-11,2022-04-08
66,107884,0.0,2021-11-09,2021-12-04,2021-12-03,BmhtbVvMdINhmT5I05tJ,24.0,-1.0,Paid,,2021-11,2022-03-04
67,296341,0.0,2021-11-09,2021-12-09,2021-12-15,i4w6v1Ft9HJTaSYFGADc,36.0,6.0,Paid,,2021-11,2022-03-09
68,2043342,0.0,2021-11-10,2021-12-10,2022-02-10,tjFgcJam1OWEoFS8j0FH,92.0,62.0,Paid,,2021-11,2022-03-10
69,2051067,0.0,2021-11-10,2021-12-10,2022-02-10,tjFgcJam1OWEoFS8j0FH,92.0,62.0,Paid,,2021-11,2022-03-10
70,2043862,0.0,2021-11-10,2021-12-10,2021-12-27,tjFgcJam1OWEoFS8j0FH,47.0,17.0,Paid,,2021-11,2022-03-10
71,40213,47309.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
72,80425,94618.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
73,80425,94618.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
74,67021,78848.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
75,80425,94618.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
76,40213,47309.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
77,33510,39424.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
78,67021,78848.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
79,67021,78848.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
80,40213,47309.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
81,40213,47309.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
82,80425,94618.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
83,30160,35482.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
84,67021,78848.0,2021-11-10,2021-12-25,,6rdvAbZOn44Y76vIqPfd,,,Overdue,310.0,2021-11,2022-03-25
85,129186,0.0,2021-11-10,2021-11-30,2021-12-02,XwZPMw2c4BrYHtq1OLno,22.0,2.0,Paid,,2021-11,2022-02-28
86,149600,0.0,2021-11-10,2022-02-23,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,107.0,2.0,Paid,,2021-11,2022-05-24
87,149600,0.0,2021-11-10,2022-02-23,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,107.0,2.0,Paid,,2021-11,2022-05-24
88,149600,0.0,2021-11-10,2022-02-23,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,107.0,2.0,Paid,,2021-11,2022-05-24
89,149600,0.0,2021-11-10,2022-02-23,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,107.0,2.0,Paid,,2021-11,2022-05-24
90,29084,34216.0,2021-11-10,2021-11-17,,C10LBuvfOEK3POvdTOTv,,,Overdue,348.0,2021-11,2022-02-15
91,108003,0.0,2021-11-10,2021-12-05,2021-12-17,BmhtbVvMdINhmT5I05tJ,37.0,12.0,Paid,,2021-11,2022-03-05
92,804503,0.0,2021-11-11,2021-12-11,2022-11-03,lbHQFdZcUoXpNQK9lcFy,357.0,327.0,Paid,,2021-11,2022-03-11
93,1740469,0.0,2021-11-11,2022-01-10,2022-07-28,uBoSyHLxAdZLG9lAy02n,259.0,199.0,Paid,,2021-11,2022-04-10
94,558148,0.0,2021-11-11,2021-12-11,2022-02-23,0dzUpnvukCNsnGeo084T,104.0,74.0,Paid,,2021-11,2022-03-11
95,899336,1058042.0,2021-11-11,2022-01-10,,aWswOgJZxKq3KTnhxx3F,,,Overdue,294.0,2021-11,2022-04-10
96,220167,0.0,2021-11-11,2022-02-09,2022-01-17,6JiVpSAze286QFXb9RXK,67.0,-23.0,Paid,,2021-11,2022-05-10
97,763354,0.0,2021-11-11,2022-02-09,2022-05-10,6JiVpSAze286QFXb9RXK,180.0,90.0,Paid,,2021-11,2022-05-10
98,149600,0.0,2021-11-11,2022-02-24,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,106.0,1.0,Paid,,2021-11,2022-05-25
99,149600,0.0,2021-11-11,2022-02-24,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,106.0,1.0,Paid,,2021-11,2022-05-25
100,149600,0.0,2021-11-11,2022-02-24,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,106.0,1.0,Paid,,2021-11,2022-05-25
101,145824,0.0,2021-11-11,2022-01-10,2022-01-25,uBoSyHLxAdZLG9lAy02n,75.0,15.0,Paid,,2021-11,2022-04-10
102,247010,0.0,2021-11-11,2021-12-11,2022-05-18,0LeTGafQ6aAwsqsSk7JQ,188.0,158.0,Paid,,2021-11,2022-03-11
103,213940,0.0,2021-11-11,2021-11-21,2022-01-01,RJ1Brep7NqLTOekFFjhv,51.0,41.0,Paid,,2021-11,2022-02-19
104,302004,0.0,2021-11-11,2021-12-11,2022-01-28,jSzBdtUGwhqJwu8XcE1y,78.0,48.0,Paid,,2021-11,2022-03-11
105,467147,549585.0,2021-11-11,2022-02-09,,kuaqwc6pirqE3hBGJKVW,,,Overdue,264.0,2021-11,2022-05-10
106,27656,0.0,2021-11-11,2021-11-11,2021-11-26,zWH50OhU94uh2aDFEO9K,15.0,15.0,Paid,,2021-11,2022-02-09
107,106809,0.0,2021-11-12,2021-12-02,2021-12-02,XwZPMw2c4BrYHtq1OLno,20.0,0.0,Paid,,2021-11,2022-03-02
108,109435,0.0,2021-11-12,2021-12-02,2021-12-22,XwZPMw2c4BrYHtq1OLno,40.0,20.0,Paid,,2021-11,2022-03-02
109,1580233,0.0,2021-11-12,2021-12-27,2022-01-18,cAZ1GfmspxNnk7myr0sJ,67.0,22.0,Paid,,2021-11,2022-03-27
110,130540,0.0,2021-11-12,2021-12-12,2022-01-05,832BDvicdphTfmE4o51P,54.0,24.0,Paid,,2021-11,2022-03-12
111,10965,0.0,2021-11-12,2021-12-12,2022-01-05,832BDvicdphTfmE4o51P,54.0,24.0,Paid,,2021-11,2022-03-12
112,2022771,0.0,2021-11-12,2021-12-12,2022-02-25,4W53jwvQ5FSA7PsQmEif,105.0,75.0,Paid,,2021-11,2022-03-12
113,111049,0.0,2021-11-12,2021-12-12,2022-03-21,A2jBHzG5JOnG6koaUIVP,129.0,99.0,Paid,,2021-11,2022-03-12
114,125549,0.0,2021-11-12,2021-12-12,2022-03-01,4BdbgDoApw1nD0kmtVkM,109.0,79.0,Paid,,2021-11,2022-03-12
115,1555854,0.0,2021-11-12,2022-01-11,2022-01-31,pKey9MQ59wyF6GhjWM5p,80.0,20.0,Paid,,2021-11,2022-04-11
116,1307090,0.0,2021-11-12,2021-12-12,2022-01-03,yXYkg0bLFYdoO4HwkwXQ,52.0,22.0,Paid,,2021-11,2022-03-12
117,29166,0.0,2021-11-12,2021-11-12,2022-01-06,zWH50OhU94uh2aDFEO9K,55.0,55.0,Paid,,2021-11,2022-02-10
118,149600,0.0,2021-11-13,2022-02-26,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,104.0,-1.0,Paid,,2021-11,2022-05-27
119,149600,0.0,2021-11-13,2022-02-26,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,104.0,-1.0,Paid,,2021-11,2022-05-27
120,149600,0.0,2021-11-13,2022-02-26,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,104.0,-1.0,Paid,,2021-11,2022-05-27
121,149600,0.0,2021-11-13,2022-02-26,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,104.0,-1.0,Paid,,2021-11,2022-05-27
122,149600,0.0,2021-11-13,2022-02-26,2022-02-25,bPBZIvFiIE1ZbZjvuYm7,104.0,-1.0,Paid,,2021-11,2022-05-27
123,1182649,314503.0,2021-11-13,2022-01-12,,uBoSyHLxAdZLG9lAy02n,,,Overdue,292.0,2021-11,2022-04-12
124,2171443,0.0,2021-11-13,2022-01-12,2022-01-15,pKey9MQ59wyF6GhjWM5p,63.0,3.0,Paid,,2021-11,2022-04-12
125,943463,0.0,2021-11-13,2022-01-12,2022-03-14,nELQW5vJOSBCgiwHissH,121.0,61.0,Paid,,2021-11,2022-04-12
126,1387889,0.0,2021-11-13,2022-01-12,2022-03-14,nELQW5vJOSBCgiwHissH,121.0,61.0,Paid,,2021-11,2022-04-12
127,1443184,0.0,2021-11-13,2022-01-12,2022-03-14,nELQW5vJOSBCgiwHissH,121.0,61.0,Paid,,2021-11,2022-04-12
128,1095802,0.0,2021-11-13,2022-01-12,2022-03-14,nELQW5vJOSBCgiwHissH,121.0,61.0,Paid,,2021-11,2022-04-12
129,383519,0.0,2021-11-13,2022-01-12,2022-01-10,pZ8qiLHkFLXnw6k7Z6ib,58.0,-2.0,Paid,,2021-11,2022-04-12
130,15980,0.0,2021-11-13,2022-01-12,2022-01-10,pZ8qiLHkFLXnw6k7Z6ib,58.0,-2.0,Paid,,2021-11,2022-04-12
131,395759,0.0,2021-11-13,2022-01-12,2022-01-10,pZ8qiLHkFLXnw6k7Z6ib,58.0,-2.0,Paid,,2021-11,2022-04-12
132,16490,0.0,2021-11-13,2022-01-12,2022-02-10,pZ8qiLHkFLXnw6k7Z6ib,89.0,29.0,Paid,,2021-11,2022-04-12
133,14280,0.0,2021-11-13,2022-01-12,2022-01-10,pZ8qiLHkFLXnw6k7Z6ib,58.0,-2.0,Paid,,2021-11,2022-04-12
134,2061191,0.0,2021-11-13,2022-01-12,2022-02-14,pKey9MQ59wyF6GhjWM5p,93.0,33.0,Paid,,2021-11,2022-04-12
135,149600,0.0,2021-11-14,2022-02-27,2022-04-12,bPBZIvFiIE1ZbZjvuYm7,149.0,44.0,Paid,,2021-11,2022-05-28
136,1842353,0.0,2021-11-14,2022-01-13,2022-01-15,pKey9MQ59wyF6GhjWM5p,62.0,2.0,Paid,,2021-11,2022-04-13
137,2115081,0.0,2021-11-14,2022-01-13,2022-01-31,pKey9MQ59wyF6GhjWM5p,78.0,18.0,Paid,,2021-11,2022-04-13
138,111049,0.0,2021-11-14,2021-12-14,2022-03-21,A2jBHzG5JOnG6koaUIVP,127.0,97.0,Paid,,2021-11,2022-03-14
139,560954,813.0,2021-11-15,2021-12-05,,832BDvicdphTfmE4o51P,,,Overdue,330.0,2021-11,2022-03-05
140,102411,0.0,2021-11-15,2022-01-14,2022-04-02,lhF03L7I5kMc7bxLih1A,138.0,78.0,Paid,,2021-11,2022-04-14
141,17532,0.0,2021-11-15,2022-01-14,2022-03-17,1RJYjFZ4GwjUALEtG1Vu,122.0,62.0,Paid,,2021-11,2022-04-14
142,226306,0.0,2021-11-15,2022-01-14,2022-05-24,J3MjbEghzfray4eHrnUw,190.0,130.0,Paid,,2021-11,2022-04-14
143,23180,0.0,2021-11-15,2022-01-14,2022-05-24,J3MjbEghzfray4eHrnUw,190.0,130.0,Paid,,2021-11,2022-04-14
144,150186,0.0,2021-11-15,2022-01-14,2022-05-30,lhF03L7I5kMc7bxLih1A,196.0,136.0,Paid,,2021-11,2022-04-14
145,149600,0.0,2021-11-15,2022-02-28,2022-04-12,bPBZIvFiIE1ZbZjvuYm7,148.0,43.0,Paid,,2021-11,2022-05-29
146,149600,0.0,2021-11-15,2022-02-28,2022-04-12,bPBZIvFiIE1ZbZjvuYm7,148.0,43.0,Paid,,2021-11,2022-05-29
147,149600,0.0,2021-11-15,2022-02-28,2022-04-12,bPBZIvFiIE1ZbZjvuYm7,148.0,43.0,Paid,,2021-11,2022-05-29
148,2139027,0.0,2021-11-15,2022-01-14,2022-01-15,pKey9MQ59wyF6GhjWM5p,61.0,1.0,Paid,,2021-11,2022-04-14
149,55188,0.0,2021-11-15,2021-12-15,2022-09-10,tlwm7bf4wEwIQ7UvGax2,299.0,269.0,Paid,,2021-11,2022-03-15
150,22645,0.0,2021-11-15,2021-12-15,2022-09-10,tlwm7bf4wEwIQ7UvGax2,299.0,269.0,Paid,,2021-11,2022-03-15
151,101792,361.0,2021-11-15,2022-01-14,,lhF03L7I5kMc7bxLih1A,,,Overdue,290.0,2021-11,2022-04-14
152,518310,0.0,2021-11-15,2022-01-14,2022-01-18,lt9VZR6Sa0kC2RZLHKyW,64.0,4.0,Paid,,2021-11,2022-04-14
153,270309,0.0,2021-11-15,2022-01-14,2022-01-18,0ZSIej5ITw7z91r9uAfH,64.0,4.0,Paid,,2021-11,2022-04-14
154,192612,0.0,2021-11-15,2022-01-14,2022-01-18,0ZSIej5ITw7z91r9uAfH,64.0,4.0,Paid,,2021-11,2022-04-14
155,8955,0.0,2021-11-15,2022-01-14,2022-01-18,0ZSIej5ITw7z91r9uAfH,64.0,4.0,Paid,,2021-11,2022-04-14
156,454592,0.0,2021-11-15,2022-01-14,2022-01-18,0ZSIej5ITw7z91r9uAfH,64.0,4.0,Paid,,2021-11,2022-04-14
157,191763,0.0,2021-11-15,2022-01-14,2022-01-18,0ZSIej5ITw7z91r9uAfH,64.0,4.0,Paid,,2021-11,2022-04-14
158,142024,0.0,2021-11-15,2022-01-14,2022-01-18,0ZSIej5ITw7z91r9uAfH,64.0,4.0,Paid,,2021-11,2022-04-14
159,36360,0.0,2021-11-15,2022-01-14,2022-01-18,0ZSIej5ITw7z91r9uAfH,64.0,4.0,Paid,,2021-11,2022-04-14
160,1926528,0.0,2021-11-15,2022-01-14,2022-01-18,0ZSIej5ITw7z91r9uAfH,64.0,4.0,Paid,,2021-11,2022-04-14
161,8786,0.0,2021-11-15,2022-01-14,2022-01-18,0ZSIej5ITw7z91r9uAfH,64.0,4.0,Paid,,2021-11,2022-04-14
162,833836,0.0,2021-11-15,2022-01-14,2022-01-18,0ZSIej5ITw7z91r9uAfH,64.0,4.0,Paid,,2021-11,2022-04-14
163,171578,0.0,2021-11-15,2022-01-14,2022-01-18,0ZSIej5ITw7z91r9uAfH,64.0,4.0,Paid,,2021-11,2022-04-14
164,8221,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
165,13656,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
166,12508,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
167,275091,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
168,40782,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
169,24868,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
170,80603,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
171,5194,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
172,23205,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
173,159163,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
174,315187,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
175,53029,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
176,6301,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
177,26583,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
178,246571,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
179,17043,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
180,54488,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
181,31930,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
182,41273,0.0,2021-11-15,2022-01-14,2022-01-18,bp1evZYjwarCVSaPPUin,64.0,4.0,Paid,,2021-11,2022-04-14
